dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.10 , 0.49996017 , 0.00008149 ,	0.50119405 , 0.00008119 ,	0.50128088 , 0.00008865 ,	0.50129040 , 0.00008797 ,	0.49996017 , 0.00008149 ,	0.49866867 , 0.00008691 ,	0.49872791 , 0.00006026 ,	0.49862465 , 0.00008676 ,	0.50159863 , 0.00007719 ,	0.50278488 , 0.00007111 ,	0.50042636 , 0.00006495 ,	0.49915988 , 0.00007667 ,	0,0.5
0.20 , 0.50000846 , 0.00006651 ,	0.50516945 , 0.00007203 ,	0.50501276 , 0.00007448 ,	0.50502937 , 0.00009079 ,	0.50012711 , 0.00007409 ,	0.49499295 , 0.00009109 ,	0.49505729 , 0.00006116 ,	0.49494820 , 0.00007417 ,	0.50670491 , 0.00007732 ,	0.51172028 , 0.00006922 ,	0.50159311 , 0.00006793 ,	0.49657616 , 0.00009045 ,	0.02,0.5
0.30 , 0.50003179 , 0.00006080 ,	0.51137026 , 0.00006562 ,	0.51157729 , 0.00007390 ,	0.51149582 , 0.00009351 ,	0.49994879 , 0.00007756 ,	0.48875070 , 0.00005113 ,	0.48872546 , 0.00005817 ,	0.48867189 , 0.00010104 ,	0.51496812 , 0.00007974 ,	0.52642818 , 0.00009692 ,	0.50394079 , 0.00009040 ,	0.49267725 , 0.00008014 ,	0.04,0.5
0.40 , 0.49992836 , 0.00007301 ,	0.52073476 , 0.00006001 ,	0.52077036 , 0.00008286 ,	0.52069676 , 0.00009189 ,	0.50000935 , 0.00009127 ,	0.48004842 , 0.00009636 ,	0.48006621 , 0.00007566 ,	0.47997097 , 0.00005561 ,	0.52648208 , 0.00006005 ,	0.54703770 , 0.00008529 ,	0.50685441 , 0.00007520 ,	0.48681092 , 0.00006778 ,	0.06,0.5
0.50 , 0.49996319 , 0.00008638 ,	0.53326023 , 0.00008217 ,	0.53324741 , 0.00006528 ,	0.53336000 , 0.00008185 ,	0.49999521 , 0.00007018 ,	0.46872639 , 0.00008904 ,	0.46871594 , 0.00007255 ,	0.46889856 , 0.00007076 ,	0.54081200 , 0.00009292 ,	0.57407344 , 0.00009791 ,	0.51092953 , 0.00006228 ,	0.47975099 , 0.00007752 ,	0.08,0.5
0.60 , 0.50005210 , 0.00006287 ,	0.54957199 , 0.00008537 ,	0.54934202 , 0.00007883 ,	0.54944054 , 0.00008068 ,	0.50010351 , 0.00007232 ,	0.45505444 , 0.00006841 ,	0.45511241 , 0.00007210 ,	0.45502908 , 0.00005383 ,	0.55857661 , 0.00009062 ,	0.60749863 , 0.00008592 ,	0.51600625 , 0.00006528 ,	0.47111535 , 0.00007179 ,	0.1,0.5
0.70 , 0.49995249 , 0.00009626 ,	0.56989439 , 0.00006704 ,	0.56963184 , 0.00006025 ,	0.56977520 , 0.00008499 ,	0.50002124 , 0.00006770 ,	0.43877779 , 0.00005444 ,	0.43867753 , 0.00005304 ,	0.43863999 , 0.00007009 ,	0.57902696 , 0.00009162 ,	0.64759094 , 0.00007554 ,	0.52215006 , 0.00007857 ,	0.46117626 , 0.00005852 ,	0.12,0.5
0.80 , 0.49997229 , 0.00007310 ,	0.59535212 , 0.00008932 ,	0.59534132 , 0.00007723 ,	0.59509018 , 0.00007860 ,	0.50000903 , 0.00006674 ,	0.41991910 , 0.00005203 ,	0.42003038 , 0.00004876 ,	0.42001783 , 0.00004740 ,	0.60231726 , 0.00008201 ,	0.69450919 , 0.00008348 ,	0.52958926 , 0.00009658 ,	0.45032807 , 0.00004790 ,	0.14,0.5
0.90 , 0.50008760 , 0.00008808 ,	0.62691852 , 0.00007103 ,	0.62707414 , 0.00007470 ,	0.62711389 , 0.00007205 ,	0.50011039 , 0.00006379 ,	0.39865144 , 0.00004962 ,	0.39881687 , 0.00003856 ,	0.39878230 , 0.00005732 ,	0.62808949 , 0.00012325 ,	0.74888308 , 0.00014223 ,	0.53795999 , 0.00009750 ,	0.43837826 , 0.00008688 ,	0.16,0.5
1.00 , 0.50001507 , 0.00006853 ,	0.66658054 , 0.00008988 ,	0.66646839 , 0.00006278 ,	0.66649877 , 0.00007218 ,	0.50001835 , 0.00006471 ,	0.37499110 , 0.00004617 ,	0.37505918 , 0.00003790 ,	0.37499855 , 0.00005242 ,	0.65655699 , 0.00009299 ,	0.81121888 , 0.00012329 ,	0.54827286 , 0.00008233 ,	0.42545011 , 0.00006096 ,	0.18,0.5
1.20 , 0.50013629 , 0.00007419 ,	0.78134123 , 0.00006487 ,	0.78128862 , 0.00008301 ,	0.78120333 , 0.00008332 ,	0.49995511 , 0.00007618 ,	0.31999861 , 0.00003341 ,	0.32002028 , 0.00003722 ,	0.32006286 , 0.00003936 ,	0.71945478 , 0.00013844 ,	0.95990131 , 0.00011485 ,	0.57328762 , 0.00009682 ,	0.39902230 , 0.00006073 ,	0.2,0.5
1.50 , 0.49994094 , 0.00007524 ,	1.14269487 , 0.00014070 ,	1.14285029 , 0.00014350 ,	1.14273832 , 0.00013943 ,	0.49999357 , 0.00007954 ,	0.21877370 , 0.00002726 ,	0.21875065 , 0.00002145 ,	0.21876119 , 0.00002976 ,	0.82842110 , 0.00017528 ,	1.25441031 , 0.00013826 ,	0.62433835 , 0.00009119 ,	0.36094117 , 0.00005627 ,	0.22,0.5
