dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.10 , 0.49871403 , 0.00004854 ,	0.49996464 , 0.00004189 ,	0.49997671 , 0.00004497 ,	0.49997600 , 0.00003695 ,	0.50120883 , 0.00007126 ,	0.49996168 , 0.00004655 ,	0.49999550 , 0.00004621 ,	0.49997743 , 0.00003426 ,	0.50134510 , 0.00005624 ,	0.49998247 , 0.00005897 ,	0.49919168 , 0.00004325 ,	0.50045487 , 0.00005568 ,	0,0.5
0.20 , 0.49493877 , 0.00004220 ,	0.50002571 , 0.00005113 ,	0.49993207 , 0.00005373 ,	0.49999954 , 0.00002440 ,	0.50506514 , 0.00005471 ,	0.49992568 , 0.00004995 ,	0.49997852 , 0.00005153 ,	0.50001205 , 0.00002860 ,	0.50510713 , 0.00003907 ,	0.49993805 , 0.00004237 ,	0.49673792 , 0.00003390 ,	0.50163785 , 0.00005078 ,	0.02,0.5
0.30 , 0.48875402 , 0.00005639 ,	0.49997704 , 0.00004576 ,	0.49998246 , 0.00005773 ,	0.50000182 , 0.00003647 ,	0.51152137 , 0.00004527 ,	0.50001382 , 0.00006276 ,	0.50005347 , 0.00004839 ,	0.49997289 , 0.00003626 ,	0.51147054 , 0.00004349 ,	0.50011731 , 0.00004367 ,	0.49265734 , 0.00003674 ,	0.50375221 , 0.00002837 ,	0.04,0.5
0.40 , 0.48002851 , 0.00004948 ,	0.50003562 , 0.00005509 ,	0.50005371 , 0.00005701 ,	0.49996556 , 0.00003793 ,	0.52089655 , 0.00005585 ,	0.49993293 , 0.00005394 ,	0.50008589 , 0.00005040 ,	0.50000268 , 0.00002522 ,	0.52052613 , 0.00005625 ,	0.50022982 , 0.00006163 ,	0.48701282 , 0.00006169 ,	0.50681349 , 0.00005642 ,	0.06,0.5
0.50 , 0.46871091 , 0.00004765 ,	0.49997156 , 0.00005341 ,	0.50003935 , 0.00005573 ,	0.50011541 , 0.00005247 ,	0.53338529 , 0.00005462 ,	0.49997872 , 0.00006977 ,	0.49991156 , 0.00003881 ,	0.50001699 , 0.00004227 ,	0.53265488 , 0.00005722 ,	0.50058421 , 0.00004901 ,	0.47997276 , 0.00005417 ,	0.51060736 , 0.00004865 ,	0.08,0.5
0.60 , 0.45506571 , 0.00004740 ,	0.49999338 , 0.00006344 ,	0.50001263 , 0.00004689 ,	0.49995240 , 0.00004322 ,	0.54949892 , 0.00006362 ,	0.50007380 , 0.00003362 ,	0.49991783 , 0.00005422 ,	0.49999742 , 0.00004318 ,	0.54785128 , 0.00004753 ,	0.50112069 , 0.00004075 ,	0.47178856 , 0.00004573 ,	0.51540311 , 0.00005736 ,	0.1,0.5
0.70 , 0.43869670 , 0.00003648 ,	0.50009282 , 0.00005034 ,	0.49996871 , 0.00005691 ,	0.50001495 , 0.00003968 ,	0.56967454 , 0.00008528 ,	0.50002349 , 0.00005135 ,	0.50004633 , 0.00006100 ,	0.49996495 , 0.00003990 ,	0.56670579 , 0.00005465 ,	0.50200516 , 0.00004370 ,	0.46259779 , 0.00005706 ,	0.52119365 , 0.00006024 ,	0.12,0.5
0.80 , 0.41999004 , 0.00004869 ,	0.49995742 , 0.00004134 ,	0.49994987 , 0.00005377 ,	0.49998277 , 0.00005027 ,	0.59536983 , 0.00007381 ,	0.50005258 , 0.00004595 ,	0.50009536 , 0.00004649 ,	0.50006184 , 0.00005442 ,	0.58957062 , 0.00006379 ,	0.50349620 , 0.00005351 ,	0.45248816 , 0.00005485 ,	0.52808205 , 0.00007919 ,	0.14,0.5
0.90 , 0.39874497 , 0.00005181 ,	0.50010221 , 0.00005007 ,	0.50000701 , 0.00006277 ,	0.50000945 , 0.00003047 ,	0.62698623 , 0.00009025 ,	0.49996826 , 0.00005253 ,	0.50001938 , 0.00003678 ,	0.50003248 , 0.00003825 ,	0.61705269 , 0.00007520 ,	0.50572736 , 0.00004634 ,	0.44195531 , 0.00006527 ,	0.53615078 , 0.00005252 ,	0.16,0.5
1.00 , 0.37490161 , 0.00004061 ,	0.49997430 , 0.00006253 ,	0.50004241 , 0.00005270 ,	0.49993827 , 0.00004974 ,	0.66671703 , 0.00006269 ,	0.49999178 , 0.00006861 ,	0.50000526 , 0.00006145 ,	0.50011875 , 0.00003472 ,	0.65018091 , 0.00007010 ,	0.50898675 , 0.00004800 ,	0.43176655 , 0.00005163 ,	0.54533586 , 0.00006716 ,	0.18,0.5
1.20 , 0.32006564 , 0.00005147 ,	0.49981046 , 0.00005323 ,	0.49994290 , 0.00007471 ,	0.50004912 , 0.00006782 ,	0.78109623 , 0.00009850 ,	0.49995457 , 0.00004307 ,	0.50013391 , 0.00007668 ,	0.49992592 , 0.00005914 ,	0.73779498 , 0.00007237 ,	0.52015671 , 0.00005230 ,	0.41337411 , 0.00005568 ,	0.56884094 , 0.00008100 ,	0.2,0.5
1.50 , 0.21879158 , 0.00003486 ,	0.49988408 , 0.00006618 ,	0.50006445 , 0.00004252 ,	0.50010502 , 0.00007138 ,	1.14257626 , 0.00015969 ,	0.49989325 , 0.00008024 ,	0.49997904 , 0.00006093 ,	0.49999200 , 0.00006343 ,	0.95509102 , 0.00012258 ,	0.55845988 , 0.00007190 ,	0.40780060 , 0.00006206 ,	0.62159421 , 0.00006967 ,	0.22,0.5
1.80 , 0.09502271 , 0.00001894 ,	0.49985471 , 0.00007745 ,	0.49989930 , 0.00007171 ,	0.49991570 , 0.00008170 ,	2.63185427 , 0.00056728 ,	0.50007182 , 0.00006056 ,	0.50001199 , 0.00007098 ,	0.50000832 , 0.00008281 ,	1.40718278 , 0.00016830 ,	0.66146615 , 0.00007757 ,	0.48877863 , 0.00008352 ,	0.72080197 , 0.00009935 ,	0.24,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.26,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.28,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.32,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.34,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.36,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.38,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.42,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.44,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.46,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.48,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.52,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.54,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.56,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.58,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.6,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.62,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.64,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.66,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.72,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.74,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.76,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.78,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.8,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.82,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.84,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.86,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.88,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.9,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.92,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.94,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.96,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.98,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.02,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.04,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.06,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.08,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.1,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.12,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.14,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.16,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.18,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.2,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.22,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.24,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.26,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.28,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.32,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.34,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.36,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.38,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.42,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.44,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.46,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.48,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.52,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.54,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.56,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.58,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.6,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.62,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.64,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.66,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.72,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.74,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.76,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.78,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.8,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.82,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.84,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.86,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.88,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.9,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.92,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.94,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.96,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.98,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												2,0.5
