dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.10 , 0.49990979 , 0.00007073 ,	0.50128555 , 0.00005643 ,	0.50123320 , 0.00005929 ,	0.50119187 , 0.00006090 ,	0.49991924 , 0.00009326 ,	0.49870851 , 0.00004706 ,	0.49871744 , 0.00007101 ,	0.49884141 , 0.00009329 ,	0.50048313 , 0.00008426 ,	0.50170592 , 0.00007692 ,	0.50045748 , 0.00006404 ,	0.49916517 , 0.00006486 ,	0,0.5
0.20 , 0.49992144 , 0.00007215 ,	0.50515016 , 0.00006353 ,	0.50485083 , 0.00006315 ,	0.50501983 , 0.00009433 ,	0.49993414 , 0.00009400 ,	0.49498095 , 0.00006841 ,	0.49487890 , 0.00007823 ,	0.49497741 , 0.00005881 ,	0.50176770 , 0.00004669 ,	0.50664890 , 0.00005921 ,	0.50174647 , 0.00006260 ,	0.49665450 , 0.00007437 ,	0.02,0.5
0.30 , 0.49996710 , 0.00007487 ,	0.51146580 , 0.00006981 ,	0.51147643 , 0.00006288 ,	0.51154961 , 0.00008148 ,	0.50004768 , 0.00005690 ,	0.48869626 , 0.00007296 ,	0.48873580 , 0.00006211 ,	0.48866666 , 0.00007905 ,	0.50384050 , 0.00006144 ,	0.51517485 , 0.00007067 ,	0.50386786 , 0.00006537 ,	0.49254589 , 0.00004915 ,	0.04,0.5
0.40 , 0.50001284 , 0.00006727 ,	0.52085686 , 0.00005903 ,	0.52091096 , 0.00008910 ,	0.52083925 , 0.00009257 ,	0.50001297 , 0.00007280 ,	0.47990702 , 0.00007019 ,	0.48006202 , 0.00006064 ,	0.48001144 , 0.00005722 ,	0.50668429 , 0.00007434 ,	0.52745943 , 0.00008610 ,	0.50694791 , 0.00006147 ,	0.48674114 , 0.00007128 ,	0.06,0.5
0.50 , 0.49995600 , 0.00006918 ,	0.53327276 , 0.00006357 ,	0.53332588 , 0.00007287 ,	0.53328051 , 0.00009602 ,	0.50003228 , 0.00006580 ,	0.46867470 , 0.00007563 ,	0.46868030 , 0.00007856 ,	0.46875389 , 0.00008787 ,	0.51038620 , 0.00008445 ,	0.54378340 , 0.00008217 ,	0.51098307 , 0.00008046 ,	0.47936119 , 0.00006681 ,	0.08,0.5
0.60 , 0.50003681 , 0.00007877 ,	0.54943664 , 0.00009195 ,	0.54951461 , 0.00006099 ,	0.54950156 , 0.00008645 ,	0.50001766 , 0.00008557 ,	0.45512162 , 0.00004875 ,	0.45493850 , 0.00006499 ,	0.45490865 , 0.00005782 ,	0.51486051 , 0.00008234 ,	0.56430132 , 0.00007770 ,	0.51629116 , 0.00007915 ,	0.47029402 , 0.00009301 ,	0.1,0.5
0.70 , 0.50000287 , 0.00007059 ,	0.56998606 , 0.00008469 ,	0.56972376 , 0.00008608 ,	0.56960232 , 0.00006893 ,	0.49995371 , 0.00007017 ,	0.43877045 , 0.00006308 ,	0.43880173 , 0.00005735 ,	0.43872482 , 0.00005426 ,	0.52019769 , 0.00008040 ,	0.58969262 , 0.00006797 ,	0.52304060 , 0.00006643 ,	0.45980153 , 0.00006493 ,	0.12,0.5
0.80 , 0.50001315 , 0.00008737 ,	0.59522907 , 0.00005331 ,	0.59521609 , 0.00007560 ,	0.59523335 , 0.00006818 ,	0.50006606 , 0.00007720 ,	0.42008054 , 0.00006758 ,	0.42011470 , 0.00004443 ,	0.42005913 , 0.00005694 ,	0.52633701 , 0.00008611 ,	0.62073353 , 0.00008919 ,	0.53114704 , 0.00007704 ,	0.44777976 , 0.00006141 ,	0.14,0.5
0.90 , 0.49992819 , 0.00004861 ,	0.62712749 , 0.00007557 ,	0.62705681 , 0.00008455 ,	0.62705230 , 0.00008097 ,	0.50000418 , 0.00009097 ,	0.39873459 , 0.00005483 ,	0.39879825 , 0.00003177 ,	0.39875777 , 0.00004768 ,	0.53322805 , 0.00008285 ,	0.65831009 , 0.00007957 ,	0.54098101 , 0.00008691 ,	0.43419635 , 0.00005581 ,	0.16,0.5
1.00 , 0.49984498 , 0.00007175 ,	0.66665425 , 0.00009112 ,	0.66661982 , 0.00008002 ,	0.66659809 , 0.00008586 ,	0.50001726 , 0.00006462 ,	0.37497657 , 0.00005934 ,	0.37501671 , 0.00004820 ,	0.37498630 , 0.00004161 ,	0.54092086 , 0.00008168 ,	0.70349325 , 0.00008177 ,	0.55331745 , 0.00006242 ,	0.41929605 , 0.00007184 ,	0.18,0.5
