dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,dt,exact
0.05 , 0.24973451 , 0.00035110 ,	0.25023834 , 0.00043475 ,	0.25067980 , 0.00032400 ,	0.25027707 , 0.00008724 ,	0.24948911 , 0.00042741 ,	0.24948118 , 0.00031629 ,	0.25027003 , 0.00048362 ,	0.24941027 , 0.00008272 ,					0,0.25
0.10 , 0.25011969 , 0.00016586 ,	0.25131206 , 0.00018369 ,	0.25135912 , 0.00018733 ,	0.25129907 , 0.00004927 ,	0.24878549 , 0.00022558 ,	0.24730020 , 0.00018085 ,	0.24698941 , 0.00020082 ,	0.24747389 , 0.00007268 ,					0.02,0.25
0.20 , 0.24997803 , 0.00007290 ,	0.25532603 , 0.00009730 ,	0.25534846 , 0.00008198 ,	0.25537702 , 0.00005385 ,	0.24465021 , 0.00008587 ,	0.24006685 , 0.00008598 ,	0.23994612 , 0.00011864 ,	0.23991422 , 0.00005569 ,					0.04,0.25
0.30 , 0.25001197 , 0.00007115 ,	0.26272880 , 0.00003867 ,	0.26272742 , 0.00007276 ,	0.26284225 , 0.00004536 ,	0.23771012 , 0.00007488 ,	0.22762545 , 0.00005267 ,	0.22749443 , 0.00006713 ,	0.22754699 , 0.00004160 ,					0.06,0.25
0.35 , 0.24998624 , 0.00006309 ,	0.26814081 , 0.00005241 ,	0.26820975 , 0.00008113 ,	0.26847487 , 0.00003967 ,	0.23283512 , 0.00005830 ,	0.21992983 , 0.00004262 ,	0.21984849 , 0.00004365 ,	0.21968327 , 0.00005196 ,					0.08,0.25
0.40 , 0.25008461 , 0.00005891 ,	0.27517665 , 0.00006411 ,	0.27526409 , 0.00006351 ,	0.27558179 , 0.00003713 ,	0.22683970 , 0.00005332 ,	0.21092290 , 0.00004580 ,	0.21092089 , 0.00004079 ,	0.21073198 , 0.00004194 ,					0.1,0.25
0.45 , 0.25020656 , 0.00004457 ,	0.28438616 , 0.00006491 ,	0.28435662 , 0.00005520 ,	0.28529347 , 0.00004378 ,	0.21975604 , 0.00004609 ,	0.20134627 , 0.00003450 ,	0.20131084 , 0.00003596 ,	0.20093304 , 0.00003336 ,					0.12,0.25
0.48 , 0.25036665 , 0.00004146 ,	0.29114309 , 0.00004868 ,	0.29106510 , 0.00004191 ,	0.29250929 , 0.00004487 ,	0.21484159 , 0.00004749 ,	0.19508371 , 0.00002645 ,	0.19515143 , 0.00002824 ,	0.19463570 , 0.00002647 ,					0.14,0.25
0.50 , 0.25044783 , 0.00004818 ,	 ,  ,	0.29637723 , 0.00004344 ,	 ,  ,	0.21166846 , 0.00003592 ,	0.19082804 , 0.00002596 ,	0.19087285 , 0.00002668 ,	0.19036114 , 0.00002022 ,					0.16,0.25
0.52 , 0.25066588 , 0.00004958 ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.18661669 , 0.00002337 ,	0.18656060 , 0.00002986 ,	0.18608037 , 0.00001890 ,					0.18,0.25
0.55 , 0.25108301 , 0.00003929 ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.18007918 , 0.00001920 ,	0.18012113 , 0.00002313 ,	0.17943758 , 0.00002213 ,					0.2,0.25
0.60 , 0.25238813 , 0.00005376 ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.16938621 , 0.00002150 ,	0.16931071 , 0.00002450 ,	0.16857718 , 0.00002495 ,					0.22,0.25
0.62 , 0.25323616 , 0.00004533 ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.16516312 , 0.00001765 ,	0.16516109 , 0.00001816 ,	 ,  ,					0.24,0.25
0.65 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.26,0.25
0.70 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.28,0.25
0.80 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.3,0.25
0.90 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.32,0.25
1.00 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.34,0.25
1.20 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.36,0.25
1.50 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.38,0.25
1.80 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,					0.4,0.25
,,,,,,,,,,,,,,,,, 												0.42,0.25
,,,,,,,,,,,,,,,,, 												0.44,0.25
,,,,,,,,,,,,,,,,, 												0.46,0.25
,,,,,,,,,,,,,,,,, 												0.48,0.25
,,,,,,,,,,,,,,,,, 												0.5,0.25
,,,,,,,,,,,,,,,,, 												0.52,0.25
,,,,,,,,,,,,,,,,, 												0.54,0.25
,,,,,,,,,,,,,,,,, 												0.56,0.25
,,,,,,,,,,,,,,,,, 												0.58,0.25
,,,,,,,,,,,,,,,,, 												0.6,0.25
,,,,,,,,,,,,,,,,, 												0.62,0.25
,,,,,,,,,,,,,,,,, 												0.64,0.25
,,,,,,,,,,,,,,,,, 												0.66,0.25
,,,,,,,,,,,,,,,,, 												0.68,0.25
,,,,,,,,,,,,,,,,, 												0.7,0.25
,,,,,,,,,,,,,,,,, 												0.72,0.25
,,,,,,,,,,,,,,,,, 												0.74,0.25
,,,,,,,,,,,,,,,,, 												0.76,0.25
,,,,,,,,,,,,,,,,, 												0.78,0.25
,,,,,,,,,,,,,,,,, 												0.8,0.25
,,,,,,,,,,,,,,,,, 												0.82,0.25
,,,,,,,,,,,,,,,,, 												0.84,0.25
,,,,,,,,,,,,,,,,, 												0.86,0.25
,,,,,,,,,,,,,,,,, 												0.88,0.25
,,,,,,,,,,,,,,,,, 												0.9,0.25
,,,,,,,,,,,,,,,,, 												0.92,0.25
,,,,,,,,,,,,,,,,, 												0.94,0.25
,,,,,,,,,,,,,,,,, 												0.96,0.25
,,,,,,,,,,,,,,,,, 												0.98,0.25
,,,,,,,,,,,,,,,,, 												1,0.25
,,,,,,,,,,,,,,,,, 												1.02,0.25
,,,,,,,,,,,,,,,,, 												1.04,0.25
,,,,,,,,,,,,,,,,, 												1.06,0.25
,,,,,,,,,,,,,,,,, 												1.08,0.25
,,,,,,,,,,,,,,,,, 												1.1,0.25
,,,,,,,,,,,,,,,,, 												1.12,0.25
,,,,,,,,,,,,,,,,, 												1.14,0.25
,,,,,,,,,,,,,,,,, 												1.16,0.25
,,,,,,,,,,,,,,,,, 												1.18,0.25
,,,,,,,,,,,,,,,,, 												1.2,0.25
,,,,,,,,,,,,,,,,, 												1.22,0.25
,,,,,,,,,,,,,,,,, 												1.24,0.25
,,,,,,,,,,,,,,,,, 												1.26,0.25
,,,,,,,,,,,,,,,,, 												1.28,0.25
,,,,,,,,,,,,,,,,, 												1.3,0.25
,,,,,,,,,,,,,,,,, 												1.32,0.25
,,,,,,,,,,,,,,,,, 												1.34,0.25
,,,,,,,,,,,,,,,,, 												1.36,0.25
,,,,,,,,,,,,,,,,, 												1.38,0.25
,,,,,,,,,,,,,,,,, 												1.4,0.25
,,,,,,,,,,,,,,,,, 												1.42,0.25
,,,,,,,,,,,,,,,,, 												1.44,0.25
,,,,,,,,,,,,,,,,, 												1.46,0.25
,,,,,,,,,,,,,,,,, 												1.48,0.25
,,,,,,,,,,,,,,,,, 												1.5,0.25
,,,,,,,,,,,,,,,,, 												1.52,0.25
,,,,,,,,,,,,,,,,, 												1.54,0.25
,,,,,,,,,,,,,,,,, 												1.56,0.25
,,,,,,,,,,,,,,,,, 												1.58,0.25
,,,,,,,,,,,,,,,,, 												1.6,0.25
,,,,,,,,,,,,,,,,, 												1.62,0.25
,,,,,,,,,,,,,,,,, 												1.64,0.25
,,,,,,,,,,,,,,,,, 												1.66,0.25
,,,,,,,,,,,,,,,,, 												1.68,0.25
,,,,,,,,,,,,,,,,, 												1.7,0.25
,,,,,,,,,,,,,,,,, 												1.72,0.25
,,,,,,,,,,,,,,,,, 												1.74,0.25
