dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.05 , 0.49934596 , 0.00002000 ,	0.50000147 , 0.00003304 ,	0.49997880 , 0.00002262 ,	0.49999594 , 0.00001449 ,	0.50064957 , 0.00002450 ,	0.50001197 , 0.00002660 ,	0.49999691 , 0.00002287 ,	0.50002344 , 0.00002401 ,	0.50060336 , 0.00002584 ,	0.50004323 , 0.00002490 ,	0.49954675 , 0.00002422 ,	0.50022360 , 0.00002460 ,	0,0.5
0.58 , 0.42008834 , 0.00003119 ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.50021281 , 0.00004031 ,	 ,  ,	0.50023628 , 0.00004067 ,	 ,  ,	 ,  ,	0.48977427 , 0.00004531 ,	0.51813854 , 0.00002694 ,	0.22,0.5
0.60 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.50018866 , 0.00004030 ,	 ,  ,	 ,  ,	0.49270438 , 0.00003580 ,	0.51896925 , 0.00004625 ,	0.24,0.5
0.62 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.49618757 , 0.00003089 ,	0.51972449 , 0.00004079 ,	0.26,0.5
0.65 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.50262254 , 0.00004432 ,	0.52087815 , 0.00003241 ,	0.28,0.5
0.68 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.3,0.5
0.70 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.32,0.5
0.80 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.34,0.5
0.90 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.36,0.5
1.00 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.38,0.5
1.20 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.4,0.5
1.50 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.42,0.5
1.80 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.44,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.46,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.48,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.52,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.54,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.56,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.58,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.6,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.62,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.64,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.66,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.72,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.74,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.76,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.78,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.8,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.82,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.84,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.86,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.88,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.9,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.92,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.94,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.96,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.98,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.02,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.04,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.06,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.08,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.1,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.12,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.14,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.16,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.18,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.2,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.22,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.24,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.26,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.28,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.32,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.34,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.36,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.38,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.42,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.44,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.46,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.48,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.52,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.54,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.56,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.58,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.6,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.62,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.64,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.66,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.72,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.74,0.5
