dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.05 , 0.25005147 , 0.00003878 ,	0.25028766 , 0.00004499 ,	0.25031929 , 0.00002978 ,	0.25018427 , 0.00006578 ,	0.24967951 , 0.00004599 ,	0.24933343 , 0.00003748 ,	0.24937425 , 0.00004774 ,	0.24932250 , 0.00006046 ,	0.25047959 , 0.00003751 ,	0.25116501 , 0.00004936 ,	0.25005171 , 0.00002785 ,	0.24950084 , 0.00003714 ,	0,0.25
0.58 , 0.25332533 , 0.00003478 ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.17230119 , 0.00001876 ,	 ,  ,	0.17290034 , 0.00002003 ,	 ,  ,	 ,  ,	0.26968112 , 0.00005252 ,	0.18948930 , 0.00002454 ,	0.22,0.25
0.60 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.16858580 , 0.00001691 ,	 ,  ,	 ,  ,	0.27161623 , 0.00003694 ,	0.18628641 , 0.00002871 ,	0.24,0.25
0.62 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.27363107 , 0.00003662 ,	0.18305135 , 0.00002410 ,	0.26,0.25
0.65 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.27686308 , 0.00006767 ,	0.17848965 , 0.00002535 ,	0.28,0.25
0.68 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.3,0.25
0.70 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.32,0.25
0.80 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.34,0.25
0.90 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.36,0.25
1.00 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.38,0.25
1.20 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.4,0.25
1.50 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.42,0.25
1.80 ,  ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	 ,  ,	0.44,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.46,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.48,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.5,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.52,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.54,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.56,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.58,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.6,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.62,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.64,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.66,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.68,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.7,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.72,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.74,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.76,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.78,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.8,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.82,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.84,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.86,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.88,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.9,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.92,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.94,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.96,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.98,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.02,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.04,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.06,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.08,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.1,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.12,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.14,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.16,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.18,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.2,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.22,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.24,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.26,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.28,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.3,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.32,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.34,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.36,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.38,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.4,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.42,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.44,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.46,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.48,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.5,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.52,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.54,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.56,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.58,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.6,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.62,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.64,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.66,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.68,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.7,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.72,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.74,0.25
