0.60 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.26,0.25
0.70 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.28,0.25
0.80 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.3,0.25
0.90 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.32,0.25
1.00 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.34,0.25
1.20 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.36,0.25
1.50 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.38,0.25
1.80 , NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	NaN , NaN ,	0.4,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.42,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.44,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.46,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.48,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.5,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.52,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.54,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.56,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.58,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.6,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.62,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.64,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.66,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.68,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.7,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.72,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.74,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.76,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.78,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.8,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.82,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.84,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.86,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.88,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.9,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.92,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.94,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.96,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.98,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.02,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.04,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.06,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.08,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.1,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.12,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.14,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.16,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.18,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.2,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.22,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.24,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.26,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.28,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.3,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.32,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.34,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.36,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.38,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.4,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.42,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.44,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.46,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.48,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.5,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.52,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.54,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.56,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.58,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.6,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.62,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.64,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.66,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.68,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.7,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.72,0.25
,,,,,,,,,,,,,,,,,,,,,,,,, 												1.74,0.25
