              dt      gamma_real      gamma_imag      sigma_real      sigma_imag
      0.60000000      2.00000000      0.00000000      1.00000000      0.00000000
      0.62500000      2.00000000      0.00000000      1.00000000      0.00000000
      0.65000000      2.00000000      0.00000000      1.00000000      0.00000000
      0.67500000      2.00000000      0.00000000      1.00000000      0.00000000
      0.70000000      2.00000000      0.00000000      1.00000000      0.00000000
      0.72500000      2.00000000      0.00000000      1.00000000      0.00000000
      0.75000000      2.00000000      0.00000000      1.00000000      0.00000000
      0.77500000      2.00000000      0.00000000      1.00000000      0.00000000
      0.80000000      2.00000000      0.00000000      1.00000000      0.00000000
      0.82500000      2.00000000      0.00000000      1.00000000      0.00000000
      0.85000000      2.00000000      0.00000000      1.00000000      0.00000000
      0.87500000      2.00000000      0.00000000      1.00000000      0.00000000
      0.90000000      2.00000000      0.00000000      1.00000000      0.00000000
