dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.10 , 0.49876364 , 0.00005019 ,	0.50001134 , 0.00003318 ,	0.50001319 , 0.00004119 ,	0.49997252 , 0.00003021 ,	0.50125696 , 0.00003028 ,	0.50002541 , 0.00003649 ,	0.49993909 , 0.00003900 ,	0.50004723 , 0.00002840 ,	0.50121522 , 0.00003533 ,	0.50005252 , 0.00003998 ,	0.49917865 , 0.00002602 ,	0.50042316 , 0.00003002 ,	0,0.5
0.20 , 0.49499342 , 0.00004770 ,	0.49998349 , 0.00004198 ,	0.50000507 , 0.00003715 ,	0.50003321 , 0.00002096 ,	0.50504517 , 0.00003867 ,	0.50003417 , 0.00003327 ,	0.49999831 , 0.00002895 ,	0.50003920 , 0.00002570 ,	0.50497937 , 0.00004042 ,	0.49995919 , 0.00004446 ,	0.49675893 , 0.00003828 ,	0.50164114 , 0.00002855 ,	0.02,0.5
0.30 , 0.48871349 , 0.00003837 ,	0.49998679 , 0.00003668 ,	0.49994489 , 0.00004192 ,	0.50003866 , 0.00002325 ,	0.51156179 , 0.00003785 ,	0.49996123 , 0.00003770 ,	0.49993524 , 0.00003458 ,	0.50004052 , 0.00002711 ,	0.51127766 , 0.00003819 ,	0.50021117 , 0.00004157 ,	0.49292644 , 0.00002549 ,	0.50357081 , 0.00003574 ,	0.04,0.5
0.40 , 0.48002953 , 0.00004474 ,	0.50002371 , 0.00003659 ,	0.50009755 , 0.00003609 ,	0.49990285 , 0.00002529 ,	0.52081658 , 0.00004692 ,	0.49993082 , 0.00003430 ,	0.50000847 , 0.00003488 ,	0.49994812 , 0.00002649 ,	0.51996263 , 0.00003587 ,	0.50067998 , 0.00004515 ,	0.48793288 , 0.00003451 ,	0.50622727 , 0.00005551 ,	0.06,0.5
0.50 , 0.46874959 , 0.00004125 ,	0.49994603 , 0.00002919 ,	0.49997666 , 0.00003444 ,	0.49999617 , 0.00003634 ,	0.53331930 , 0.00004129 ,	0.50000047 , 0.00003986 ,	0.49997032 , 0.00003675 ,	0.50003418 , 0.00003233 ,	0.53108984 , 0.00003283 ,	0.50169896 , 0.00005218 ,	0.48216626 , 0.00003414 ,	0.50929643 , 0.00004048 ,	0.08,0.5
0.60 , 0.45497350 , 0.00003396 ,	0.50007730 , 0.00005010 ,	0.49987754 , 0.00004127 ,	0.50009323 , 0.00003970 ,	0.54942308 , 0.00005079 ,	0.49997340 , 0.00004230 ,	0.50004347 , 0.00004326 ,	0.50002663 , 0.00002703 ,	0.54514537 , 0.00004265 ,	0.50323966 , 0.00005187 ,	0.47587615 , 0.00002909 ,	0.51265128 , 0.00004567 ,	0.1,0.5
0.70 , 0.43876645 , 0.00004033 ,	0.49999743 , 0.00003590 ,	0.49998919 , 0.00002840 ,	0.49997346 , 0.00004464 ,	0.56978973 , 0.00004896 ,	0.49998624 , 0.00004214 ,	0.50002527 , 0.00004312 ,	0.49999921 , 0.00004569 ,	0.56187467 , 0.00005425 ,	0.50569471 , 0.00004130 ,	0.46985503 , 0.00003918 ,	0.51633906 , 0.00004187 ,	0.12,0.5
0.80 , 0.42007446 , 0.00004246 ,	0.50001933 , 0.00005984 ,	0.49998969 , 0.00004664 ,	0.49997478 , 0.00005072 ,	0.59521804 , 0.00003926 ,	0.49996270 , 0.00004121 ,	0.49994701 , 0.00005328 ,	0.49998211 , 0.00003441 ,	0.58197685 , 0.00005816 ,	0.50945713 , 0.00005509 ,	0.46435746 , 0.00004165 ,	0.51996171 , 0.00004163 ,	0.14,0.5
0.90 , 0.39877782 , 0.00004654 ,	0.50006047 , 0.00005265 ,	0.49994641 , 0.00004547 ,	0.50004227 , 0.00003923 ,	0.62702857 , 0.00005568 ,	0.49994202 , 0.00004871 ,	0.49994607 , 0.00004851 ,	0.49999528 , 0.00004319 ,	0.60558277 , 0.00006462 ,	0.51451781 , 0.00004429 ,	0.46013796 , 0.00004073 ,	0.52357828 , 0.00004534 ,	0.16,0.5
1.00 , 0.37498772 , 0.00003127 ,	0.49999775 , 0.00004996 ,	0.49999795 , 0.00004637 ,	0.50006196 , 0.00005601 ,	0.66666492 , 0.00007889 ,	0.49998728 , 0.00004097 ,	0.49994535 , 0.00005210 ,	0.50002186 , 0.00006267 ,	0.63336964 , 0.00008009 ,	0.52127467 , 0.00004333 ,	0.45792156 , 0.00005164 ,	0.52690265 , 0.00004933 ,	0.18,0.5
