dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.10 , 0.49881511 , 0.00005321 ,	0.50006501 , 0.00005329 ,	0.49996267 , 0.00004547 ,	0.50002713 , 0.00002874 ,	0.50121836 , 0.00003651 ,	0.50006501 , 0.00005329 ,	0.49999571 , 0.00004568 ,	0.49997977 , 0.00004076 ,	0.50124047 , 0.00004500 ,	0.49995897 , 0.00004978 ,	0.49909160 , 0.00005620 ,	0.50047009 , 0.00004846 ,	0,0.5
0.20 , 0.49496843 , 0.00004147 ,	0.49997634 , 0.00004654 ,	0.49999479 , 0.00005525 ,	0.49997318 , 0.00003151 ,	0.50502476 , 0.00004887 ,	0.50005479 , 0.00006419 ,	0.49999805 , 0.00004234 ,	0.50000691 , 0.00003460 ,	0.50500271 , 0.00005081 ,	0.49999220 , 0.00003581 ,	0.49669357 , 0.00004989 ,	0.50161815 , 0.00004479 ,	0.02,0.5
0.30 , 0.48877435 , 0.00004954 ,	0.49999594 , 0.00005671 ,	0.49997666 , 0.00004722 ,	0.50001737 , 0.00003890 ,	0.51156339 , 0.00005419 ,	0.49996197 , 0.00003657 ,	0.49999325 , 0.00004299 ,	0.50004602 , 0.00003410 ,	0.51143373 , 0.00005215 ,	0.50008983 , 0.00005808 ,	0.49263948 , 0.00005513 ,	0.50371185 , 0.00005435 ,	0.04,0.5
0.40 , 0.47993417 , 0.00004837 ,	0.49996349 , 0.00006585 ,	0.50005086 , 0.00003450 ,	0.50001495 , 0.00003451 ,	0.52086747 , 0.00005778 ,	0.49991592 , 0.00005997 ,	0.50004597 , 0.00005285 ,	0.49993320 , 0.00003886 ,	0.52047909 , 0.00004042 ,	0.50020732 , 0.00005845 ,	0.48701632 , 0.00003867 ,	0.50669014 , 0.00004466 ,	0.06,0.5
0.50 , 0.46873481 , 0.00004374 ,	0.50008260 , 0.00005924 ,	0.49992326 , 0.00005579 ,	0.49997277 , 0.00003576 ,	0.53331782 , 0.00004747 ,	0.50000039 , 0.00005579 ,	0.50002877 , 0.00006167 ,	0.50006789 , 0.00003740 ,	0.53270337 , 0.00004899 ,	0.50049182 , 0.00004252 ,	0.48010328 , 0.00005113 ,	0.51061714 , 0.00005899 ,	0.08,0.5
0.60 , 0.45502819 , 0.00004877 ,	0.50001162 , 0.00006479 ,	0.49999912 , 0.00003674 ,	0.50005190 , 0.00004437 ,	0.54948376 , 0.00006510 ,	0.49999063 , 0.00005256 ,	0.50002927 , 0.00004759 ,	0.49997948 , 0.00002931 ,	0.54804635 , 0.00006833 ,	0.50124059 , 0.00006366 ,	0.47182303 , 0.00005093 ,	0.51535546 , 0.00007135 ,	0.1,0.5
0.70 , 0.43881642 , 0.00004483 ,	0.49999661 , 0.00005237 ,	0.50000129 , 0.00005453 ,	0.50005243 , 0.00004586 ,	0.56983665 , 0.00005689 ,	0.50004733 , 0.00005883 ,	0.50010606 , 0.00004687 ,	0.50008447 , 0.00005113 ,	0.56686655 , 0.00006521 ,	0.50241638 , 0.00004868 ,	0.46271406 , 0.00005636 ,	0.52111288 , 0.00006363 ,	0.12,0.5
0.80 , 0.42006099 , 0.00004748 ,	0.50003629 , 0.00005667 ,	0.50000334 , 0.00005925 ,	0.49994619 , 0.00004841 ,	0.59516908 , 0.00006976 ,	0.49990302 , 0.00003925 ,	0.50002356 , 0.00005931 ,	0.50005409 , 0.00003586 ,	0.58993354 , 0.00004530 ,	0.50425835 , 0.00005453 ,	0.45277734 , 0.00004066 ,	0.52781982 , 0.00005562 ,	0.14,0.5
0.90 , 0.39877149 , 0.00005201 ,	0.49996300 , 0.00005474 ,	0.49998120 , 0.00005222 ,	0.49991329 , 0.00004051 ,	0.62690564 , 0.00006717 ,	0.49994095 , 0.00003598 ,	0.49999138 , 0.00004193 ,	0.49999165 , 0.00003395 ,	0.61770962 , 0.00007149 ,	0.50720805 , 0.00006308 ,	0.44263811 , 0.00004782 ,	0.53565485 , 0.00005731 ,	0.16,0.5
1.00 , 0.37494091 , 0.00003209 ,	0.49996161 , 0.00005328 ,	0.50002500 , 0.00004985 ,	0.49996246 , 0.00005481 ,	0.66669209 , 0.00006901 ,	0.49999947 , 0.00006045 ,	0.50007589 , 0.00006097 ,	0.49996454 , 0.00004975 ,	0.65126716 , 0.00007466 ,	0.51140744 , 0.00007528 ,	0.43257065 , 0.00003264 ,	0.54477204 , 0.00006374 ,	0.18,0.5
1.20 , 0.32000042 , 0.00004057 ,	0.50000388 , 0.00004496 ,	0.49995858 , 0.00005231 ,	0.49988626 , 0.00004911 ,	0.78124327 , 0.00008173 ,	0.50010722 , 0.00005272 ,	0.49998279 , 0.00006788 ,	0.50004185 , 0.00006113 ,	0.74154713 , 0.00008676 ,	0.52626891 , 0.00004414 ,	0.41528833 , 0.00004830 ,	0.56679562 , 0.00006232 ,	0.2,0.5
1.50 , 0.21876894 , 0.00004191 ,	0.50014010 , 0.00006112 ,	0.49996645 , 0.00006102 ,	0.50000176 , 0.00004571 ,	1.14291477 , 0.00017695 ,	0.50008670 , 0.00004121 ,	0.50004398 , 0.00005592 ,	0.49990100 , 0.00006028 ,	0.97474631 , 0.00012899 ,	0.57783643 , 0.00006567 ,	0.40890615 , 0.00004805 ,	0.61086385 , 0.00009116 ,	0.22,0.5
1.80 , 0.09499528 , 0.00001750 ,	0.49991223 , 0.00004809 ,	0.50002009 , 0.00008290 ,	0.49986163 , 0.00007547 ,	2.63212256 , 0.00050899 ,	0.49993820 , 0.00006023 ,	0.49974693 , 0.00006056 ,	0.50001129 , 0.00008055 ,	1.51470293 , 0.00024368 ,	0.69276700 , 0.00007413 ,	0.47312671 , 0.00006429 ,	0.66353517 , 0.00008525 ,	0.24,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.26,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.28,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.32,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.34,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.36,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.38,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.4,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.42,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.44,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.46,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.48,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.52,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.54,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.56,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.58,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.6,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.62,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.64,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.66,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.68,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.7,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.72,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.74,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.76,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.78,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.8,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.82,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.84,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.86,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.88,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.9,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.92,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.94,0.5
,,,,,,,,,,,,,,,,,,,,,,,,, 												0.96,0.5
