dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,dt,exact
0.10 , 0.50102684 , 0.00108113 ,	0.49919901 , 0.00112635 ,	0.50212741 , 0.00097130 ,	0.50123443 , 0.00006901 ,	0.49893068 , 0.00121072 ,	0.49757159 , 0.00106327 ,	0.49797278 , 0.00069623 ,	0.49879491 , 0.00006863 ,					0,0.5
0.20 , 0.50023499 , 0.00069201 ,	0.50511437 , 0.00039001 ,	0.50552494 , 0.00052355 ,	0.50500405 , 0.00007161 ,	0.49944062 , 0.00054839 ,	0.49457396 , 0.00041725 ,	0.49642675 , 0.00052354 ,	0.49492660 , 0.00008074 ,					0.02,0.5
0.30 , 0.50003042 , 0.00032745 ,	0.51140694 , 0.00035407 ,	0.51212048 , 0.00032619 ,	0.51137186 , 0.00009347 ,	0.50019385 , 0.00033411 ,	0.48829545 , 0.00026783 ,	0.48895078 , 0.00029985 ,	0.48886066 , 0.00006903 ,					0.04,0.5
0.40 , 0.49992114 , 0.00026291 ,	0.52089781 , 0.00020797 ,	0.52094573 , 0.00028488 ,	0.52085146 , 0.00007174 ,	0.50057235 , 0.00020968 ,	0.47984250 , 0.00016794 ,	0.47999688 , 0.00018658 ,	0.47996486 , 0.00006016 ,					0.06,0.5
0.50 , 0.50003268 , 0.00018015 ,	0.53300460 , 0.00019333 ,	0.53343725 , 0.00021097 ,	0.53348287 , 0.00009696 ,	0.50020231 , 0.00015500 ,	0.46889768 , 0.00018475 ,	0.46860971 , 0.00020030 ,	0.46869973 , 0.00006675 ,					0.08,0.5
0.60 , 0.49992417 , 0.00014997 ,	0.54941015 , 0.00015657 ,	0.54942668 , 0.00015125 ,	0.54945988 , 0.00008965 ,	0.49997795 , 0.00015848 ,	0.45498882 , 0.00009829 ,	0.45488442 , 0.00012012 ,	0.45490516 , 0.00008419 ,					0.1,0.5
0.70 , 0.49997572 , 0.00013957 ,	0.56981840 , 0.00015316 ,	0.57001409 , 0.00012375 ,	0.56978773 , 0.00007450 ,	0.49995223 , 0.00015230 ,	0.43873559 , 0.00010592 ,	0.43887405 , 0.00010670 ,	0.43867062 , 0.00006140 ,					0.12,0.5
0.80 , 0.49996722 , 0.00013408 ,	0.59531557 , 0.00010320 ,	0.59511811 , 0.00010419 ,	0.59526852 , 0.00008524 ,	0.49993361 , 0.00009226 ,	0.41997740 , 0.00009232 ,	0.42004763 , 0.00009990 ,	0.41990751 , 0.00005527 ,					0.14,0.5
0.90 , 0.49981676 , 0.00011261 ,	0.62679096 , 0.00010074 ,	0.62699671 , 0.00009750 ,	0.62689231 , 0.00007696 ,	0.50017984 , 0.00011091 ,	0.39875008 , 0.00006851 ,	0.39882817 , 0.00007482 ,	0.39873344 , 0.00004109 ,					0.16,0.5
1.00 , 0.49973124 , 0.00008959 ,	0.66664012 , 0.00012684 ,	0.66655646 , 0.00006691 ,	0.66672744 , 0.00010356 ,	0.50001845 , 0.00012502 ,	0.37498582 , 0.00005017 ,	0.37504733 , 0.00005666 ,	0.37500867 , 0.00005381 ,					0.18,0.5
1.20 , 0.49987796 , 0.00009849 ,	0.78124076 , 0.00010386 ,	0.78125019 , 0.00007743 ,	0.78127687 , 0.00009145 ,	0.50013805 , 0.00007859 ,	0.31998319 , 0.00004251 ,	0.31999350 , 0.00003442 ,	0.31995582 , 0.00004076 ,					0.2,0.5
1.50 , 0.50000907 , 0.00007364 ,	1.14288204 , 0.00015143 ,	1.14270708 , 0.00012891 ,	1.14287551 , 0.00012253 ,	0.49996772 , 0.00005991 ,	0.21874498 , 0.00003121 ,	0.21876845 , 0.00003136 ,	0.21875918 , 0.00003299 ,					0.22,0.5
1.80 , 0.50000659 , 0.00006555 ,	2.63215892 , 0.00068306 ,	2.63060836 , 0.00059241 ,	2.63276947 , 0.00047579 ,	0.50009148 , 0.00009167 ,	0.09497629 , 0.00002367 ,	0.09500443 , 0.00002056 ,	0.09500421 , 0.00001650 ,					0.24,0.5
,,,,,,,,,,,,,,,,, 												0.26,0.5
,,,,,,,,,,,,,,,,, 												0.28,0.5
,,,,,,,,,,,,,,,,, 												0.3,0.5
,,,,,,,,,,,,,,,,, 												0.32,0.5
,,,,,,,,,,,,,,,,, 												0.34,0.5
,,,,,,,,,,,,,,,,, 												0.36,0.5
,,,,,,,,,,,,,,,,, 												0.38,0.5
,,,,,,,,,,,,,,,,, 												0.4,0.5
,,,,,,,,,,,,,,,,, 												0.42,0.5
,,,,,,,,,,,,,,,,, 												0.44,0.5
,,,,,,,,,,,,,,,,, 												0.46,0.5
,,,,,,,,,,,,,,,,, 												0.48,0.5
,,,,,,,,,,,,,,,,, 												0.5,0.5
,,,,,,,,,,,,,,,,, 												0.52,0.5
,,,,,,,,,,,,,,,,, 												0.54,0.5
,,,,,,,,,,,,,,,,, 												0.56,0.5
,,,,,,,,,,,,,,,,, 												0.58,0.5
,,,,,,,,,,,,,,,,, 												0.6,0.5
,,,,,,,,,,,,,,,,, 												0.62,0.5
,,,,,,,,,,,,,,,,, 												0.64,0.5
,,,,,,,,,,,,,,,,, 												0.66,0.5
,,,,,,,,,,,,,,,,, 												0.68,0.5
,,,,,,,,,,,,,,,,, 												0.7,0.5
,,,,,,,,,,,,,,,,, 												0.72,0.5
,,,,,,,,,,,,,,,,, 												0.74,0.5
,,,,,,,,,,,,,,,,, 												0.76,0.5
,,,,,,,,,,,,,,,,, 												0.78,0.5
,,,,,,,,,,,,,,,,, 												0.8,0.5
,,,,,,,,,,,,,,,,, 												0.82,0.5
,,,,,,,,,,,,,,,,, 												0.84,0.5
,,,,,,,,,,,,,,,,, 												0.86,0.5
,,,,,,,,,,,,,,,,, 												0.88,0.5
,,,,,,,,,,,,,,,,, 												0.9,0.5
,,,,,,,,,,,,,,,,, 												0.92,0.5
,,,,,,,,,,,,,,,,, 												0.94,0.5
,,,,,,,,,,,,,,,,, 												0.96,0.5
,,,,,,,,,,,,,,,,, 												0.98,0.5
,,,,,,,,,,,,,,,,, 												1,0.5
,,,,,,,,,,,,,,,,, 												1.02,0.5
,,,,,,,,,,,,,,,,, 												1.04,0.5
,,,,,,,,,,,,,,,,, 												1.06,0.5
,,,,,,,,,,,,,,,,, 												1.08,0.5
,,,,,,,,,,,,,,,,, 												1.1,0.5
,,,,,,,,,,,,,,,,, 												1.12,0.5
,,,,,,,,,,,,,,,,, 												1.14,0.5
,,,,,,,,,,,,,,,,, 												1.16,0.5
,,,,,,,,,,,,,,,,, 												1.18,0.5
,,,,,,,,,,,,,,,,, 												1.2,0.5
,,,,,,,,,,,,,,,,, 												1.22,0.5
,,,,,,,,,,,,,,,,, 												1.24,0.5
,,,,,,,,,,,,,,,,, 												1.26,0.5
,,,,,,,,,,,,,,,,, 												1.28,0.5
,,,,,,,,,,,,,,,,, 												1.3,0.5
,,,,,,,,,,,,,,,,, 												1.32,0.5
,,,,,,,,,,,,,,,,, 												1.34,0.5
,,,,,,,,,,,,,,,,, 												1.36,0.5
,,,,,,,,,,,,,,,,, 												1.38,0.5
,,,,,,,,,,,,,,,,, 												1.4,0.5
,,,,,,,,,,,,,,,,, 												1.42,0.5
,,,,,,,,,,,,,,,,, 												1.44,0.5
,,,,,,,,,,,,,,,,, 												1.46,0.5
,,,,,,,,,,,,,,,,, 												1.48,0.5
,,,,,,,,,,,,,,,,, 												1.5,0.5
,,,,,,,,,,,,,,,,, 												1.52,0.5
,,,,,,,,,,,,,,,,, 												1.54,0.5
,,,,,,,,,,,,,,,,, 												1.56,0.5
,,,,,,,,,,,,,,,,, 												1.58,0.5
,,,,,,,,,,,,,,,,, 												1.6,0.5
,,,,,,,,,,,,,,,,, 												1.62,0.5
,,,,,,,,,,,,,,,,, 												1.64,0.5
,,,,,,,,,,,,,,,,, 												1.66,0.5
,,,,,,,,,,,,,,,,, 												1.68,0.5
,,,,,,,,,,,,,,,,, 												1.7,0.5
,,,,,,,,,,,,,,,,, 												1.72,0.5
,,,,,,,,,,,,,,,,, 												1.74,0.5
