dt,middle,middle-error,end,end-error,beginning,beginning-error,side,side-error,PV-middle,PV-middle-error,PV-end,PV-end-error,PV-beginning,PV-beginning-error,PV-side,PV-side-error,middle-pT,middle-pT-error,side-pT,side-pT-error,middle-xT,middle-xT-error,side-xT,side-xT-error,dt,exact
0.10 , 0.49877241 , 0.00003195 ,	0.49994016 , 0.00002358 ,	0.50003811 , 0.00004550 ,	0.49998897 , 0.00002956 ,	0.50127566 , 0.00003211 ,	0.50000074 , 0.00003345 ,	0.50000563 , 0.00004510 ,	0.50002141 , 0.00002670 ,	0.50119663 , 0.00004148 ,	0.49995557 , 0.00003921 ,	0.49920131 , 0.00003751 ,	0.50040089 , 0.00003533 ,	0,0.5
0.20 , 0.49499942 , 0.00003737 ,	0.49998922 , 0.00003125 ,	0.49998912 , 0.00003936 ,	0.50001579 , 0.00002848 ,	0.50506745 , 0.00003213 ,	0.49999341 , 0.00002903 ,	0.49999261 , 0.00002815 ,	0.49999159 , 0.00002820 ,	0.50500488 , 0.00002492 ,	0.50006008 , 0.00003303 ,	0.49677673 , 0.00003352 ,	0.50159413 , 0.00004575 ,	0.02,0.5
0.30 , 0.48877584 , 0.00003106 ,	0.49999970 , 0.00003798 ,	0.49997285 , 0.00003588 ,	0.50006817 , 0.00002916 ,	0.51145007 , 0.00003951 ,	0.50000496 , 0.00004162 ,	0.50001577 , 0.00002738 ,	0.49993521 , 0.00002737 ,	0.51117811 , 0.00003308 ,	0.50027570 , 0.00003914 ,	0.49299814 , 0.00003828 ,	0.50369489 , 0.00004286 ,	0.04,0.5
0.40 , 0.48003621 , 0.00002600 ,	0.49995232 , 0.00002934 ,	0.49995366 , 0.00003874 ,	0.50001677 , 0.00003237 ,	0.52092164 , 0.00005752 ,	0.50000349 , 0.00004866 ,	0.49997206 , 0.00003995 ,	0.50001542 , 0.00004996 ,	0.51976028 , 0.00005131 ,	0.50067593 , 0.00003187 ,	0.48798355 , 0.00003664 ,	0.50622521 , 0.00002893 ,	0.06,0.5
0.50 , 0.46869619 , 0.00003568 ,	0.49996396 , 0.00005000 ,	0.50002295 , 0.00003789 ,	0.49996046 , 0.00003354 ,	0.53335029 , 0.00003923 ,	0.49999079 , 0.00004004 ,	0.50001722 , 0.00004421 ,	0.50004308 , 0.00003618 ,	0.53062304 , 0.00003760 ,	0.50185912 , 0.00004276 ,	0.48232811 , 0.00005075 ,	0.50928351 , 0.00003361 ,	0.08,0.5
0.60 , 0.45497426 , 0.00003473 ,	0.50004843 , 0.00004244 ,	0.49996373 , 0.00003666 ,	0.50001841 , 0.00003804 ,	0.54945911 , 0.00003944 ,	0.50002009 , 0.00004657 ,	0.50003506 , 0.00003994 ,	0.49999935 , 0.00003115 ,	0.54372918 , 0.00004291 ,	0.50365621 , 0.00004246 ,	0.47648151 , 0.00004290 ,	0.51272203 , 0.00005571 ,	0.1,0.5
0.70 , 0.43868540 , 0.00003639 ,	0.50005669 , 0.00003413 ,	0.49995945 , 0.00003383 ,	0.49999241 , 0.00004049 ,	0.56973530 , 0.00005726 ,	0.50002202 , 0.00004377 ,	0.49993280 , 0.00003331 ,	0.49996496 , 0.00004782 ,	0.55911060 , 0.00004808 ,	0.50674298 , 0.00004557 ,	0.47106875 , 0.00004391 ,	0.51625625 , 0.00003630 ,	0.12,0.5
0.80 , 0.41998077 , 0.00003107 ,	0.50005811 , 0.00005663 ,	0.50007614 , 0.00004481 ,	0.49998435 , 0.00003579 ,	0.59524573 , 0.00005733 ,	0.49995890 , 0.00003998 ,	0.50002302 , 0.00003708 ,	0.49994479 , 0.00005497 ,	0.57656648 , 0.00005754 ,	0.51099782 , 0.00004293 ,	0.46648119 , 0.00004042 ,	0.51984134 , 0.00004868 ,	0.14,0.5
0.90 , 0.39879157 , 0.00004693 ,	0.50000852 , 0.00003923 ,	0.50007539 , 0.00003918 ,	0.50000375 , 0.00005888 ,	0.62698807 , 0.00007619 ,	0.49993655 , 0.00005676 ,	0.50004481 , 0.00004399 ,	0.50000970 , 0.00004934 ,	0.59601288 , 0.00008824 ,	0.51702825 , 0.00004941 ,	0.46362532 , 0.00006091 ,	0.52342791 , 0.00004239 ,	0.16,0.5
1.00 , 0.37496237 , 0.00003977 ,	0.49992117 , 0.00006729 ,	0.49993063 , 0.00003986 ,	0.50005561 , 0.00004394 ,	0.66679447 , 0.00006490 ,	0.49998704 , 0.00004807 ,	0.50003340 , 0.00004169 ,	0.50003837 , 0.00004318 ,	0.61764016 , 0.00007442 ,	0.52510990 , 0.00005676 ,	0.46315425 , 0.00005960 ,	0.52661482 , 0.00005496 ,	0.18,0.5
